ts_code,code,name_x,last_price,pre_close,open,volume,amount,quote_time,pct_change,high,low,turnover_rate,pe_ttm,pb,source,run_ts,quote_date,trade_date,history_trade_date,history_close,name_y,industry,market,gap_days,hist_ret_close_1d,hist_ret_close_3d,hist_ret_close_5d,close_ma5_ratio,close_ma10_ratio,hist_close_range_pos_5d,hist_close_drawdown_10d,hist_close_vol_5d,hist_overnight_prev_1d,hist_overnight_prev_3d_mean,hist_overnight_prev_5d_mean,hist_overnight_prev_5d_std,hist_overnight_positive_rate_5d,is_new_listing_180d,prev_limit_move_like_1d,prev_soft_outlier_1d,name,live_return_vs_prev_close,live_return_vs_pre_close,live_range_pos,from_day_high,from_day_low,live_px_ma5_ratio,live_px_ma10_ratio,live_near_limit_move_like,live_soft_outlier,live_intraday_pullback,overnight_live_score,live_score_component__hist_ret_close_1d,live_score_component__hist_ret_close_3d,live_score_component__hist_ret_close_5d,live_score_component__live_px_ma5_ratio,live_score_component__live_px_ma10_ratio,live_score_component__hist_close_range_pos_5d,live_score_component__hist_close_drawdown_10d,live_score_component__hist_close_vol_5d,live_score_component__hist_overnight_prev_1d,live_score_component__hist_overnight_prev_3d_mean,live_score_component__hist_overnight_prev_5d_mean,live_score_component__hist_overnight_prev_5d_std,live_score_component__hist_overnight_positive_rate_5d,live_score_component__live_return_vs_prev_close,live_score_component__live_range_pos,live_score_component__from_day_high,live_score_component__gap_days,live_score_component__is_new_listing_180d,live_score_component__prev_limit_move_like_1d,live_score_component__prev_soft_outlier_1d,rank_in_live_day,live_reject_reasons,live_pass_risk_filter,final_live_score,heavy_score,heavy_tier,heavy_veto,heavy_adjustment,heavy_keep_rank,heavy_reason,heavy_risk_flags,agent_score,agent_adjustment,agent_veto,agent_risk_level,agent_reason,hot_mention_count,hot_source_count,hot_best_rank,hot_recency_hours,social_bonus_score,theme_match_count,theme_source_count,theme_names,theme_bonus_score,openclaw_event_strength,openclaw_positive_signal,openclaw_risk_penalty,openclaw_theme_count,openclaw_theme_names,openclaw_macro_mentions,openclaw_social_mentions,openclaw_feature_score,openclaw_risk_flags,openclaw_catalyst_summary,ashare_enrichment_bonus_score,ashare_enrichment_risk_penalty,kronos_pred_return_1d,kronos_degraded,rank_in_final_live_day
600027.SH,600027,华电国际,4.53,4.46,4.43,1029125.0,45806.0,15:47:07,1.57,4.54,4.34,1.12,8.96,1.09,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,5.02,华电国际,火力发电,主板,1,0.0080321285140561,0.0286885245901638,0.0458333333333333,0.0170178282009723,0.0408459465063237,1.0,0.0,0.0079648548094412,-0.0120481927710844,-0.0067441312108304,-0.003637480771488,0.0055929608441663,0.2,False,False,False,华电国际,-0.09760956175298796,0.015695067264574147,0.9500000000000011,-0.0022026431718060735,0.04377880184331806,-0.08225283630470015,-0.06075057018453245,False,True,False,0.724429012345679,0.5339506172839507,0.7530864197530864,0.8364197530864198,0.38271604938271603,0.33024691358024694,0.8055555555555556,0.8765432098765432,0.8734567901234568,0.8703703703703703,0.8209876543209876,0.7654320987654321,0.49074074074074076,0.6327160493827161,0.5802469135802469,0.9320987654320988,0.9166666666666666,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,1.0,,True,0.9326574074074074,0.72,core,False,0.0,4.0,火电防御，分位极高,"[""行业近饱和""]",0.92,0.18,False,low,火电日内几乎收于最高，极低回撤，结构最优,0,0,,,0.0,0,0,,0.0,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,1.0
600188.SH,600188,兖矿能源,18.42,17.98,17.98,527053.0,95627.0,15:47:28,2.45,18.49,17.58,0.88,18.16,2.42,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,23.17,兖矿能源,煤炭开采,主板,1,0.0796831314072694,0.1204061895551258,0.1654929577464789,0.0853475735431892,0.1398632360899296,1.0,0.0,0.0310894517892612,-0.0153774464119292,-0.0086681950768524,-0.0052009170461114,0.0067208088405106,0.0,False,False,False,兖矿能源,-0.20500647388864912,0.024471635150166815,0.9230769230769267,-0.0037858301784746695,0.047781569965870574,-0.13715570545250133,-0.09381610665617157,False,True,False,0.755030864197531,0.9845679012345679,0.9907407407407407,0.9938271604938271,0.5617283950617284,0.4382716049382716,0.8055555555555556,0.8765432098765432,0.20679012345679013,0.9228395061728395,0.8580246913580247,0.8240740740740741,0.4444444444444444,0.9120370370370371,0.2654320987654321,0.8919753086419753,0.8672839506172839,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,2.0,,True,0.9255185185185185,0.75,core,False,0.0,1.0,score最高，煤炭趋势强,"[""行业集中度偏高""]",0.9,0.15,False,low,评分最高，尾盘紧贴日高，回撤极小，煤炭强势,0,0,,,0.0,0,0,,0.0,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,2.0
600886.SH,600886,国投电力,13.35,13.06,13.0,391154.0,51575.0,15:47:09,2.22,13.4,12.82,0.52,14.38,1.55,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,13.61,国投电力,水力发电,主板,1,0.000735294117647,0.0179506357516829,0.00740192450037,0.008297525559342,0.0110690141891387,1.0,-0.0043891733723482,0.0090048857258215,-0.0080882352941176,-0.0044390464633145,-0.0031075433480108,0.0029077606247491,0.0,False,False,False,国投电力,-0.019103600293901568,0.022205206738131533,0.9137931034482747,-0.003731343283582156,0.041341653666146616,-0.010964587346273591,-0.008246044127479535,False,False,False,0.7462037037037037,0.2962962962962963,0.6512345679012346,0.5864197530864198,0.23148148148148148,0.22530864197530864,0.8055555555555556,0.7037037037037037,0.8117283950617284,0.7839506172839507,0.7222222222222222,0.7345679012345679,0.7407407407407407,0.9120370370370371,0.7808641975308642,0.8641975308641975,0.8765432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,3.0,,True,0.8947222222222222,0.74,core,False,0.0,2.0,水电稳定，日内极强,[],0.88,0.13,False,low,水电防御性强，尾盘结构健康，回撤小,0,0,,,0.0,0,0,,0.0,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,3.0
600011.SH,600011,华能国际,7.48,7.31,7.27,1645719.0,121293.0,15:47:20,2.33,7.55,7.14,1.5,8.44,1.68,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,7.02,华能国际,火力发电,主板,1,0.0159189580318377,0.0057306590257877,0.007173601147776,0.007173601147776,0.0074626865671643,1.0,0.0,0.0087266842904077,-0.0057887120115773,-0.0019295706705257,-0.0011585634153223,0.0027795198642217,0.2,False,False,False,华能国际,0.06552706552706566,0.023255813953488413,0.8292682926829283,-0.009271523178807861,0.04761904761904767,0.07317073170731714,0.07347876004592435,False,False,False,0.7154475308641977,0.7067901234567902,0.47530864197530864,0.5802469135802469,0.13580246913580246,0.1388888888888889,0.8055555555555556,0.8765432098765432,0.8333333333333334,0.6820987654320988,0.5771604938271605,0.5030864197530864,0.7623456790123457,0.6327160493827161,0.8641975308641975,0.7067901234567902,0.6388888888888888,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,4.0,,True,0.8297685185185185,0.71,core,False,0.0,5.0,火电强势，尾盘稳固,"[""火电双票持仓风险""]",0.82,0.1,False,low,火电次选，尾盘位置较高但略弱于华电国际,0,0,,,0.0,0,0,,0.0,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,4.0
600362.SH,600362,江西铜业,44.49,42.39,42.3,666938.0,292367.0,15:47:17,4.95,44.94,42.3,3.21,19.27,1.83,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,46.38,江西铜业,铜,主板,1,0.0474254742547426,0.0354989953114535,0.0093579978237214,0.0311249444197423,0.013327507100721,1.0,-0.0177890724269376,0.0280704143521743,-0.006323396567299,-0.0050102324346901,-0.0021859173205664,0.0090647241509547,0.2,False,False,False,江西铜业,-0.04075032341526519,0.04953998584571839,0.8295454545454563,-0.01001335113484636,0.05177304964539009,-0.010893730546909453,-0.027965916539217872,False,False,False,0.7110339506172839,0.9351851851851852,0.7839506172839507,0.6172839506172839,0.22839506172839505,0.26851851851851855,0.8055555555555556,0.5555555555555556,0.25617283950617287,0.7098765432098766,0.7623456790123457,0.6419753086419753,0.3395061728395062,0.6327160493827161,0.7253086419753086,0.7098765432098766,0.6049382716049383,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,5.0,,True,0.7511203703703703,0.71,watch,False,0.0,6.0,铜受益宏观，放量突破,[],0.78,0.08,False,low,铜板块强势，涨幅较高且回撤可控,0,0,,,0.0,0,0,,0.0,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,5.0
000630.SZ,630,铜陵有色,6.37,6.22,6.24,4074871.0,257124.0,15:47:24,2.41,6.41,6.22,3.66,32.48,2.32,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,6.33,铜陵有色,铜,主板,1,0.0144230769230768,0.0063593004769475,-0.0306278713629403,0.0063593004769475,-0.0062794348508632,1.0,-0.0306278713629403,0.0182364942968865,-0.0432692307692308,-0.0181326688679629,-0.0109578725475941,0.0198331163218823,0.2,False,False,False,铜陵有色,0.006319115323854652,0.02411575562700974,0.7894736842105265,-0.006240249609984372,0.02411575562700974,0.012718600953895098,2.220446049250313e-16,False,False,False,0.696929012345679,0.6820987654320988,0.49691358024691357,0.1882716049382716,0.17901234567901234,0.20987654320987653,0.8055555555555556,0.3888888888888889,0.5,0.9814814814814815,0.9629629629629629,0.9475308641975309,0.1111111111111111,0.6327160493827161,0.8240740740740741,0.6358024691358025,0.7623456790123457,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,6.0,,True,0.6751574074074074,0.7,watch,False,0.0,7.0,铜业补涨，流动性佳,"[""5日累跌历史""]",0.68,0.03,False,low,铜板块，涨幅适中，回撤小，流动性良好,0,0,,,0.0,0,0,,0.0,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,6.0
000333.SZ,333,美的集团,77.27,74.83,75.79,743258.0,569783.0,15:47:24,3.26,77.99,75.14,1.08,13.31,2.88,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,81.31,美的集团,家用电器,主板,1,0.0106898694841517,0.0207130303791112,0.0253467843631778,0.0144222371934028,0.0218675380168404,1.0,0.0,0.0068554476425791,0.0012430080795524,-0.0015527768236407,-0.0016832487037589,0.0026822667055816,0.2,False,False,False,美的集团,-0.0496863854384455,0.0326072430843245,0.7473684210526315,-0.009231952814463429,0.02834708544051101,-0.03598073708111882,-0.02890536634409968,False,False,False,0.6943364197530866,0.6111111111111112,0.6851851851851852,0.7345679012345679,0.2808641975308642,0.2716049382716049,0.8055555555555556,0.8765432098765432,0.9012345679012346,0.19753086419753085,0.5185185185185185,0.5833333333333334,0.7777777777777778,0.6327160493827161,0.7191358024691358,0.5339506172839507,0.6450617283950617,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,7.0,,True,0.6066018518518519,0.69,watch,False,0.0,8.0,家电龙头，稳健防御,[],0.65,0.0,False,medium,家电龙头，涨幅稳健但弹性一般,0,0,,,0.0,0,0,,0.0,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,7.0
603799.SH,603799,华友钴业,47.68,46.79,46.7,631247.0,296812.0,15:47:10,1.9,48.27,45.66,3.34,12.29,1.82,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,67.66,华友钴业,小金属,主板,1,0.0447807288449659,0.0444581661006482,0.0452649467016839,0.0386221294363258,0.0347939129769823,1.0,0.0,0.0382191273327011,-0.0179122915379864,-0.0058025183351423,-0.0032046792608245,0.0135386297089023,0.4,False,False,False,华友钴业,-0.29530002955956247,0.01902115836717244,0.773946360153256,-0.012222912782266504,0.04424003504161189,-0.268083016087437,-0.27078076011317587,False,True,False,0.667469135802469,0.9166666666666666,0.8425925925925926,0.8302469135802469,0.8858024691358025,0.8858024691358025,0.8055555555555556,0.8765432098765432,0.11728395061728394,0.9382716049382716,0.7962962962962963,0.7407407407407407,0.22530864197530864,0.3317901234567901,0.05864197530864197,0.5987654320987654,0.5123456790123457,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,8.0,,True,0.5879814814814813,0.7,watch,False,0.03,15.0,小金属+锂电主题,"[""隔夜历史偏弱""]",0.55,-0.05,False,medium,小金属股，日内回撤略大，动能相对偏弱,0,0,,,0.0,1,1,新能源/储能/锂电,0.03,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,8.0
300124.SZ,300124,汇川技术,65.23,63.28,62.98,482978.0,307473.0,15:47:45,3.08,65.97,62.01,2.0,37.26,5.04,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,67.59,汇川技术,电器仪表,创业板,1,0.1015319426336376,0.0438610038610038,0.0101629053953071,0.0405505265102532,0.0291587362009897,1.0,0.0,0.0623517995912456,0.0102672750977836,-0.0086949328833638,-0.0059274335346076,0.0137275792009003,0.4,False,False,False,汇川技术,-0.034916407752626166,0.030815423514538587,0.8131313131313145,-0.011217219948461365,0.051927108530882116,0.004218240039411514,-0.006775789874381322,False,False,False,0.6746296296296296,0.9969135802469136,0.8395061728395061,0.6265432098765432,0.19753086419753085,0.2222222222222222,0.8055555555555556,0.8765432098765432,0.018518518518518517,0.043209876543209874,0.8611111111111112,0.8518518518518519,0.2222222222222222,0.3317901234567901,0.7407407407407407,0.6851851851851852,0.5524691358024691,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,9.0,,True,0.5852777777777777,0.67,watch,False,0.0,12.0,电器仪表趋势延续,"[""创业板波动""]",0.62,0.0,False,medium,创业板工控龙头，涨幅适中，但波动大于主板,0,0,,,0.0,0,0,,0.0,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,9.0
000792.SZ,792,盐湖股份,29.63,28.91,28.69,811407.0,236251.0,15:47:51,2.49,30.02,28.17,1.53,15.2,3.51,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,39.5,盐湖股份,农药化肥,主板,1,0.0669908157752565,0.0555852485301977,0.0754151919411925,0.0544580886278696,0.0521268944943131,1.0,0.0,0.0412575842787441,-0.01107509454349,-0.0039524319786718,-0.0037116136177263,0.0050537974493855,0.2,False,False,False,盐湖股份,-0.24987341772151905,0.024904877205119247,0.7891891891891887,-0.012991339107261801,0.051828186013489486,-0.20902295782167646,-0.21077164850970886,False,True,False,0.6872685185185186,0.9722222222222222,0.8888888888888888,0.9012345679012346,0.7685185185185185,0.7592592592592593,0.8055555555555556,0.8765432098765432,0.09259259259259259,0.8580246913580247,0.6975308641975309,0.7685185185185185,0.5277777777777778,0.6327160493827161,0.1574074074074074,0.6327160493827161,0.49074074074074076,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,10.0,,True,0.572361111111111,0.68,watch,False,0.0,10.0,化肥弹性，放量上攻,[],0.6,-0.02,False,medium,农药化肥，日内回撤较大，上冲动能稍弱,0,0,,,0.0,0,0,,0.0,0.0,0.0,0.0,0,,0,0,0.0,,,0.0,0.0,,False,10.0
