ts_code,code,name_x,last_price,pre_close,open,volume,amount,quote_time,pct_change,high,low,turnover_rate,pe_ttm,pb,source,run_ts,quote_date,trade_date,history_trade_date,history_close,name_y,industry,market,gap_days,hist_ret_close_1d,hist_ret_close_3d,hist_ret_close_5d,close_ma5_ratio,close_ma10_ratio,hist_close_range_pos_5d,hist_close_drawdown_10d,hist_close_vol_5d,hist_overnight_prev_1d,hist_overnight_prev_3d_mean,hist_overnight_prev_5d_mean,hist_overnight_prev_5d_std,hist_overnight_positive_rate_5d,is_new_listing_180d,prev_limit_move_like_1d,prev_soft_outlier_1d,name,live_return_vs_prev_close,live_return_vs_pre_close,live_range_pos,from_day_high,from_day_low,live_px_ma5_ratio,live_px_ma10_ratio,live_near_limit_move_like,live_soft_outlier,live_intraday_pullback
000001.SZ,1,平安银行,10.24,10.23,10.22,1124140.0,114417.0,15:47:42,0.1,10.32,10.02,0.58,4.61,0.43,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,11.52,平安银行,银行,主板,1,0.0052356020942407,0.0472727272727271,0.0491803278688522,0.0220014194464157,0.0324430901595267,1.0,0.0,0.0141466813466796,-0.0026178010471205,0.0085415765695303,0.0047613095780818,0.0141412253809493,0.2,False,False,False,平安银行,-0.11111111111111105,0.0009775171065493637,0.7333333333333337,-0.007751937984496138,0.021956087824351433,-0.09155429382540814,-0.0822728087470872,False,True,False
000002.SZ,2,万  科Ａ,3.04,3.01,2.96,1558535.0,47055.0,15:47:42,1.0,3.09,2.94,1.6,-0.41,0.33,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,3.87,万科Ａ,全国地产,主板,1,0.032,0.032,-0.0025773195876288,0.0232681121099946,0.0041515308770108,1.0,-0.0227272727272727,0.0203350773331731,0.0026666666666665,0.0017777777777776,2.6268365938740545e-05,0.0026339253506147,0.4,False,False,False,万科Ａ,-0.21447028423772607,0.00996677740863805,0.6666666666666676,-0.016181229773462702,0.03401360544217691,-0.19619249074563727,-0.21120913336792957,False,True,False
000063.SZ,63,中兴通讯,35.2,35.67,35.35,1179960.0,415614.0,15:47:00,-1.32,36.18,34.73,2.93,37.63,2.2,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,36.42,中兴通讯,通信设备,主板,1,0.0113857261871703,0.0010995052226496,-0.0246384574183181,-0.0044828340258036,0.006021766753218,0.3280000000000029,-0.0246384574183181,0.022700942321103,-0.0052763121355178,-0.0093990434497262,-0.0079089665206711,0.0047365471772453,0.0,False,False,False,中兴通讯,-0.03349807797913229,-0.01317633865993828,0.32413793103448624,-0.02708678828081801,0.013532968615030505,-0.03783074568117206,-0.027678028838185598,False,False,False
000069.SZ,69,华侨城Ａ,1.66,1.63,1.63,596661.0,9687.0,15:47:15,1.84,1.67,1.57,0.86,-0.92,0.39,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,2.25,华侨城Ａ,全国地产,主板,1,0.0368663594470046,0.0416666666666665,0.0227272727272727,0.0292772186642269,0.0227272727272727,1.0,0.0,0.0197773283934869,0.0,0.0,-0.000921658986175,0.002060892145161,0.0,False,False,False,华侨城Ａ,-0.26222222222222225,0.01840490797546024,0.8999999999999998,-0.005988023952095856,0.0573248407643312,-0.24062214089661482,-0.2454545454545456,False,True,False
000100.SZ,100,TCL科技,5.29,5.4,5.43,17084609.0,914334.0,15:47:21,-2.04,5.57,5.2,8.93,21.74,1.81,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,4.32,TCL科技,元器件,主板,1,0.0140845070422537,0.0212765957446807,-0.0068965517241378,0.0107627515208239,0.0032512772875059,1.0,-0.0114416475972539,0.0160329205799395,-0.004694835680751,-0.0023529672915348,-0.001881263942996,0.0019649994554326,0.0,False,False,False,TCL科技,0.22453703703703698,-0.020370370370370483,0.24324324324324278,-0.050269299820466795,0.017307692307692246,0.23771642489471256,0.2285183464932652,False,True,True
000157.SZ,157,中联重科,7.21,7.31,7.25,975777.0,69762.0,15:47:18,-1.37,7.31,6.93,1.38,14.39,1.07,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,8.11,中联重科,工程机械,主板,1,0.0024721878862792,0.0150187734668334,0.0062034739454093,0.0107178464606179,0.0042100049529467,1.0,-0.0109756097560975,0.0113827242690211,-0.0135970333745364,-0.0053730338234582,-0.0042238202940749,0.0056355313566048,0.0,False,False,False,中联重科,-0.11097410604192348,-0.013679890560875485,0.7368421052631587,-0.013679890560875485,0.04040404040404044,-0.10144566301096725,-0.10723130262506197,False,True,False
000166.SZ,166,申万宏源,4.46,4.4,4.4,1275809.0,56564.0,15:47:24,1.36,4.48,4.36,0.57,11.3,0.97,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,4.74,申万宏源,证券,主板,1,0.0128205128205129,0.0237580993520518,0.0106609808102344,0.016295025728988,0.0097997443544952,1.0,-0.0021052631578947,0.0100688529413176,0.0,0.0007215007215006,2.792906018659648e-06,0.001525601744847,0.2,False,False,False,申万宏源,-0.05907172995780596,0.013636363636363447,0.8333333333333296,-0.0044642857142858094,0.022935779816513735,-0.043739279588336344,-0.0498508734554749,False,False,False
000301.SZ,301,东方盛虹,11.3,11.39,11.24,244597.0,27618.0,15:47:06,-0.79,11.52,11.0,0.37,60.98,2.15,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,13.26,东方盛虹,化纤,主板,1,0.0153139356814699,0.0650602409638554,0.0263157894736842,0.0359374999999999,0.0551444258772977,1.0,0.0,0.0248696361736498,-0.0252679938744256,-0.0084226646248085,-0.0055403397085438,0.011134216294128,0.2,False,False,False,东方盛虹,-0.14781297134238303,-0.007901668129938533,0.5769230769230788,-0.0190972222222221,0.027272727272727337,-0.1171875,-0.10081960690697844,False,True,False
000333.SZ,333,美的集团,77.27,74.83,75.79,743258.0,569783.0,15:47:24,3.26,77.99,75.14,1.08,13.31,2.88,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,81.31,美的集团,家用电器,主板,1,0.0106898694841517,0.0207130303791112,0.0253467843631778,0.0144222371934028,0.0218675380168404,1.0,0.0,0.0068554476425791,0.0012430080795524,-0.0015527768236407,-0.0016832487037589,0.0026822667055816,0.2,False,False,False,美的集团,-0.0496863854384455,0.0326072430843245,0.7473684210526315,-0.009231952814463429,0.02834708544051101,-0.03598073708111882,-0.02890536634409968,False,False,False
000338.SZ,338,潍柴动力,26.19,27.95,27.6,1569532.0,412780.0,15:47:18,-6.3,27.87,25.78,3.17,20.07,2.38,tencent.qt.gtimg.cn,2026-06-29T15:48:01,2026-06-29,2026-06-29,2026-04-29,30.15,潍柴动力,汽车配件,主板,1,0.0023271276595744,0.0189253126056099,0.0775553967119371,0.0119487145062764,0.0610966425001759,1.0,0.0,0.022213988684679,-0.002659574468085,0.0013646275298543,0.0121181569066076,0.0216472903961001,0.8,False,False,False,潍柴动力,-0.13134328358208947,-0.06296958855098378,0.19617224880382783,-0.060279870828848225,0.01590380139643144,-0.12096395247365233,-0.07827127472372764,False,True,True
