ts_code,name,industry,theme_match_count,theme_source_count,theme_names,theme_bonus_score
002180.SZ,奔图科技,IT设备,2,1,AI/终端智能化|机器人/智能制造,0.04
002415.SZ,海康威视,IT设备,2,1,AI/终端智能化|机器人/智能制造,0.04
300274.SZ,阳光电源,电气设备,2,1,新能源/储能/锂电|机器人/智能制造,0.04
605117.SH,德业股份,电气设备,2,1,新能源/储能/锂电|机器人/智能制造,0.04
000063.SZ,中兴通讯,通信设备,1,1,AI/终端智能化,0.03
600111.SH,北方稀土,小金属,1,1,新能源/储能/锂电,0.03
601100.SH,恒立液压,工程机械,1,1,机器人/智能制造,0.03
603260.SH,合盛硅业,化工原料,1,1,新能源/储能/锂电,0.03
603799.SH,华友钴业,小金属,1,1,新能源/储能/锂电,0.03
688256.SH,寒武纪,半导体,1,1,AI/终端智能化,0.03
000069.SZ,华侨城Ａ,全国地产,0,0,,0.0
000166.SZ,申万宏源,证券,0,0,,0.0
000301.SZ,东方盛虹,化纤,0,0,,0.0
000333.SZ,美的集团,家用电器,0,0,,0.0
000408.SZ,藏格矿业,农药化肥,0,0,,0.0
000596.SZ,古井贡酒,白酒,0,0,,0.0
000630.SZ,铜陵有色,铜,0,0,,0.0
000786.SZ,北新建材,其他建材,0,0,,0.0
000792.SZ,盐湖股份,农药化肥,0,0,,0.0
001979.SZ,招商蛇口,全国地产,0,0,,0.0
002050.SZ,三花智控,家用电器,0,0,,0.0
300059.SZ,东方财富,证券,0,0,,0.0
300124.SZ,汇川技术,电器仪表,0,0,,0.0
300142.SZ,沃森生物,生物制药,0,0,,0.0
300496.SZ,中科创达,软件服务,0,0,,0.0
600010.SH,包钢股份,普钢,0,0,,0.0
600011.SH,华能国际,火力发电,0,0,,0.0
600027.SH,华电国际,火力发电,0,0,,0.0
600030.SH,中信证券,证券,0,0,,0.0
600188.SH,兖矿能源,煤炭开采,0,0,,0.0
600362.SH,江西铜业,铜,0,0,,0.0
600674.SH,川投能源,水力发电,0,0,,0.0
600690.SH,海尔智家,家用电器,0,0,,0.0
600809.SH,山西汾酒,白酒,0,0,,0.0
600886.SH,国投电力,水力发电,0,0,,0.0
601059.SH,信达证券,证券,0,0,,0.0
601336.SH,新华保险,保险,0,0,,0.0
601377.SH,兴业证券,证券,0,0,,0.0
601689.SH,拓普集团,汽车配件,0,0,,0.0
601838.SH,成都银行,银行,0,0,,0.0
601878.SH,浙商证券,证券,0,0,,0.0
601881.SH,中国银河,证券,0,0,,0.0
601888.SH,中国中免,旅游服务,0,0,,0.0
601899.SH,紫金矿业,铜,0,0,,0.0
601901.SH,方正证券,证券,0,0,,0.0
601939.SH,建设银行,银行,0,0,,0.0
601995.SH,中金公司,证券,0,0,,0.0
603195.SH,公牛集团,家用电器,0,0,,0.0
603833.SH,欧派家居,家居用品,0,0,,0.0
605499.SH,东鹏饮料,软饮料,0,0,,0.0
