ts_code,code,name_x,last_price,pre_close,open,volume,amount,quote_time,pct_change,high,low,turnover_rate,pe_ttm,pb,source,run_ts,quote_date,trade_date,history_trade_date,history_close,name_y,industry,market,gap_days,hist_ret_close_1d,hist_ret_close_3d,hist_ret_close_5d,close_ma5_ratio,close_ma10_ratio,hist_close_range_pos_5d,hist_close_drawdown_10d,hist_close_vol_5d,hist_overnight_prev_1d,hist_overnight_prev_3d_mean,hist_overnight_prev_5d_mean,hist_overnight_prev_5d_std,hist_overnight_positive_rate_5d,is_new_listing_180d,prev_limit_move_like_1d,prev_soft_outlier_1d,name,live_return_vs_prev_close,live_return_vs_pre_close,live_range_pos,from_day_high,from_day_low,live_px_ma5_ratio,live_px_ma10_ratio,live_near_limit_move_like,live_soft_outlier,live_intraday_pullback,overnight_live_score,live_score_component__hist_ret_close_1d,live_score_component__hist_ret_close_3d,live_score_component__hist_ret_close_5d,live_score_component__live_px_ma5_ratio,live_score_component__live_px_ma10_ratio,live_score_component__hist_close_range_pos_5d,live_score_component__hist_close_drawdown_10d,live_score_component__hist_close_vol_5d,live_score_component__hist_overnight_prev_1d,live_score_component__hist_overnight_prev_3d_mean,live_score_component__hist_overnight_prev_5d_mean,live_score_component__hist_overnight_prev_5d_std,live_score_component__hist_overnight_positive_rate_5d,live_score_component__live_return_vs_prev_close,live_score_component__live_range_pos,live_score_component__from_day_high,live_score_component__gap_days,live_score_component__is_new_listing_180d,live_score_component__prev_limit_move_like_1d,live_score_component__prev_soft_outlier_1d,rank_in_live_day,live_reject_reasons,live_pass_risk_filter,final_live_score,agent_score,agent_adjustment,agent_veto,agent_risk_level,agent_reason,rank_in_final_live_day,heavy_score,heavy_tier,heavy_veto,heavy_adjustment,heavy_keep_rank,heavy_reason,heavy_risk_flags,heavy_selection_score,rank_in_heavy_review
300274.SZ,300274,阳光电源,159.02,155.64,154.99,741792.0,1161597.0,16:14:24,2.17,160.26,152.34,4.67,27.64,6.98,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,138.07,阳光电源,电气设备,创业板,1,0.0629763646162138,0.0319904327677704,0.0084727193046527,0.0340153376070937,0.0283547961836097,1.0,0.0,0.0343976904617741,-0.0068519516513971,-0.022002654530221,-0.0131426866286303,0.0184205964088608,0.2,False,False,False,阳光电源,0.151734627362932,0.0217167823181703,0.8434343434343456,-0.0077374266816422,0.043849284495208,0.1909112695464623,0.1843918279794136,False,True,False,0.7008796296296297,0.9691358024691358,0.7685185185185185,0.5987654320987654,0.1172839506172839,0.1172839506172839,0.8055555555555556,0.8765432098765432,0.1574074074074074,0.7376543209876543,0.9876543209876544,0.9814814814814816,0.1388888888888889,0.6327160493827161,0.8858024691358025,0.8611111111111112,0.8209876543209876,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,8.0,,True,0.7008796296296297,,0.0,False,,,8.0,0.78,core,False,0.07,1.0,双主题映射，日内强正收益,"[""电气设备集中"", ""隔夜正率较低""]",0.9054837962962965,1.0
000301.SZ,301,东方盛虹,11.45,11.3,11.2,294774.0,32813.0,16:14:48,1.33,11.49,10.8,0.45,61.79,2.18,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,13.26,东方盛虹,化纤,主板,1,0.0153139356814699,0.0650602409638554,0.0263157894736842,0.0359374999999999,0.0551444258772977,1.0,0.0,0.0248696361736498,-0.0252679938744256,-0.0084226646248085,-0.0055403397085438,0.011134216294128,0.2,False,False,False,东方盛虹,-0.136500754147813,0.0132743362831857,0.942028985507245,-0.0034812880765884,0.0601851851851851,-0.1054687500000001,-0.0888835839898145,False,True,False,0.7190432098765432,0.7037037037037037,0.9166666666666666,0.7453703703703703,0.4567901234567901,0.3919753086419753,0.8055555555555556,0.8765432098765432,0.3148148148148148,0.9567901234567902,0.8487654320987654,0.8395061728395061,0.2777777777777778,0.6327160493827161,0.4814814814814814,0.9598765432098766,0.9382716049382716,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,2.0,,True,0.7190432098765432,,0.0,False,,,2.0,0.76,core,False,0.04,2.0,高overnight得分，日内居高,"[""化纤行业孤例"", ""历史隔夜波动""]",0.8754737654320989,2.0
300059.SZ,300059,东方财富,20.38,20.1,19.95,4303483.0,867221.0,16:14:33,1.39,20.57,19.74,3.22,24.6,3.36,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,20.26,东方财富,证券,创业板,1,0.0049603174603174,0.0284263959390864,0.0039643211100099,0.0131013101310131,0.0126911123515962,1.0,0.0,0.0122670352006691,-0.0069444444444444,-0.0012806164878923,-0.0019634462816553,0.0053676276620908,0.2,False,False,False,东方财富,0.0059230009871666,0.0139303482587063,0.7710843373493965,-0.0092367525522606,0.0324214792299899,0.019101910191019,0.0186892828097497,False,False,False,0.7050154320987655,0.4320987654320987,0.7469135802469136,0.5524691358024691,0.1882716049382716,0.1759259259259259,0.8055555555555556,0.8765432098765432,0.6635802469135802,0.7469135802469136,0.4783950617283951,0.6265432098765432,0.5092592592592593,0.6327160493827161,0.8179012345679012,0.7530864197530864,0.7685185185185185,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,5.0,,True,0.7050154320987655,,0.0,False,,,5.0,0.74,core,False,0.04,3.0,证券龙头，量价配合良好,"[""证券板块过载"", ""创业板弹性大""]",0.8577584876543211,3.0
605499.SH,605499,东鹏饮料,123.43,121.99,122.82,131198.0,160755.0,16:15:00,1.18,124.24,119.74,1.94,19.31,4.76,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,208.33,东鹏饮料,软饮料,主板,1,0.0597721029606266,0.0418583716743348,0.0344091360476663,0.0346146205800557,0.0378618044138892,1.0,0.0,0.0319736013997289,-0.0034591514904873,-0.0017007386269541,-0.0025735055236562,0.0023409006403816,0.2,False,False,False,东鹏饮料,-0.4075265204243268,0.0118042462496927,0.8200000000000026,-0.0065196394075981,0.0308167696676131,-0.3870182757250694,-0.3850944054202162,False,True,False,0.6984104938271606,0.9660493827160492,0.8271604938271605,0.7932098765432098,1.0,0.9969135802469136,0.8055555555555556,0.8765432098765432,0.191358024691358,0.5246913580246914,0.5401234567901234,0.6759259259259259,0.8179012345679012,0.6327160493827161,0.0030864197530864,0.8302469135802469,0.8425925925925926,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,9.0,,True,0.6984104938271606,,0.0,False,,,9.0,0.73,core,False,0.03,4.0,软饮料独苗，稳健上行,"[""无主题催化"", ""流动性一般""]",0.8386257716049383,4.0
000630.SZ,630,铜陵有色,6.36,6.37,6.25,3370825.0,211309.0,16:14:21,-0.16,6.42,6.15,3.03,32.43,2.32,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,6.33,铜陵有色,铜,主板,1,0.0144230769230768,0.0063593004769475,-0.0306278713629403,0.0063593004769475,-0.0062794348508632,1.0,-0.0306278713629403,0.0182364942968865,-0.0432692307692308,-0.0181326688679629,-0.0109578725475941,0.0198331163218823,0.2,False,False,False,铜陵有色,0.0047393364928909,-0.0015698587127158,0.7777777777777789,-0.0093457943925232,0.0341463414634146,0.0111287758346583,-0.0015698587127156,False,False,False,0.7057870370370372,0.6820987654320988,0.4969135802469135,0.1882716049382716,0.1944444444444444,0.2037037037037037,0.8055555555555556,0.3888888888888889,0.5,0.9814814814814816,0.9629629629629628,0.9475308641975309,0.1111111111111111,0.6327160493827161,0.8148148148148148,0.7623456790123457,0.7623456790123457,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,4.0,,True,0.7057870370370372,,0.0,False,,,4.0,0.72,core,False,0.01,5.0,铜板块领先，微跌但尾盘稳,"[""期铜联动风险"", ""隔夜正率0.2""]",0.8171828703703705,5.0
603799.SH,603799,华友钴业,48.26,47.68,47.11,549591.0,261372.0,16:14:24,1.22,48.58,46.3,2.91,12.42,1.85,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,67.66,华友钴业,小金属,主板,1,0.0447807288449659,0.0444581661006482,0.0452649467016839,0.0386221294363258,0.0347939129769823,1.0,0.0,0.0382191273327011,-0.0179122915379864,-0.0058025183351423,-0.0032046792608245,0.0135386297089023,0.4,False,False,False,华友钴业,-0.2867277564292049,0.0121644295302012,0.8596491228070174,-0.0065870728694936,0.0423326133909287,-0.2591796635146751,-0.2619102240575056,False,True,False,0.7018827160493825,0.9166666666666666,0.8425925925925926,0.8302469135802469,0.8703703703703703,0.8672839506172839,0.8055555555555556,0.8765432098765432,0.1172839506172839,0.9382716049382716,0.7962962962962963,0.7407407407407407,0.2253086419753086,0.3317901234567901,0.0679012345679012,0.8765432098765432,0.8364197530864198,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,7.0,,True,0.7018827160493825,,0.0,False,,,7.0,0.71,core,False,0.01,6.0,小金属+主题，正隔夜率高,"[""新能源回调风险"", ""正率样本短""]",0.8095354938271604,6.0
600690.SH,600690,海尔智家,20.41,20.42,20.42,521355.0,105967.0,16:14:06,-0.05,20.57,20.0,0.83,10.23,1.53,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,21.64,海尔智家,家用电器,主板,1,0.0140581068416121,0.056640625,0.0464216634429401,0.0353076260644913,0.0368950646861523,1.0,0.0,0.0188973550280346,0.0018744142455482,-0.001162069845376,-0.0010862089423046,0.0026795346675999,0.2,False,False,False,海尔智家,-0.0568391866913123,-0.0004897159647405,0.719298245614035,-0.0077783179387457,0.0204999999999999,-0.0235384173763276,-0.0220412074748442,False,False,False,0.6950771604938272,0.6666666666666666,0.8981481481481481,0.845679012345679,0.2407407407407407,0.2530864197530864,0.8055555555555556,0.8765432098765432,0.4783950617283951,0.1666666666666666,0.4629629629629629,0.4845679012345679,0.7839506172839507,0.6327160493827161,0.7037037037037037,0.691358024691358,0.8179012345679012,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,12.0,,True,0.6950771604938272,,0.0,False,,,12.0,0.66,core,False,0.01,10.0,家电稳盘，量价均衡,"[""无主题催化"", ""隔夜正率0.2""]",0.779292438271605,7.0
002180.SZ,2180,奔图科技,16.36,16.01,16.17,529833.0,86418.0,16:14:54,2.19,16.58,15.94,3.9,-31.52,2.55,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,18.82,奔图科技,IT设备,主板,1,0.0172972972972973,0.02449646162221,0.028415300546448,0.0137901314371902,0.0276291361799716,1.0,0.0,0.0120042271865396,-0.0091891891891893,-0.0057397714216553,-0.0050691243167166,0.0046779319922129,0.2,False,False,False,奔图科技,-0.1307120085015941,0.0218613366645845,0.6562500000000011,-0.0132689987937273,0.0263488080301128,-0.1187244128420599,-0.1066943322048706,False,True,False,0.6933487654320988,0.7345679012345679,0.7222222222222222,0.7592592592592593,0.5,0.4537037037037037,0.8055555555555556,0.8765432098765432,0.6790123456790124,0.808641975308642,0.7901234567901234,0.8209876543209876,0.5555555555555556,0.6327160493827161,0.4907407407407407,0.6296296296296297,0.6080246913580247,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,13.0,,True,0.6933487654320988,,0.0,False,,,13.0,0.69,core,False,-0.01,7.0,双AI/机器人主题映射,"[""尾盘回落幅度"", ""隔夜正率低""]",0.7748418209876543,8.0
300124.SZ,300124,汇川技术,66.33,65.23,66.53,423349.0,279733.0,16:14:09,1.69,67.28,64.39,1.76,37.88,5.13,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,67.59,汇川技术,电器仪表,创业板,1,0.1015319426336376,0.0438610038610038,0.0101629053953071,0.0405505265102532,0.0291587362009897,1.0,0.0,0.0623517995912456,0.0102672750977836,-0.0086949328833638,-0.0059274335346076,0.0137275792009003,0.4,False,False,False,汇川技术,-0.018641810918775,0.0168634064080943,0.6712802768166081,-0.0141200951248514,0.0301289020034165,0.0211527803436173,0.0099733536353254,False,False,False,0.6752777777777778,0.9969135802469136,0.8395061728395061,0.6265432098765432,0.1851851851851851,0.191358024691358,0.8055555555555556,0.8765432098765432,0.0185185185185185,0.0432098765432098,0.8611111111111112,0.8518518518518519,0.2222222222222222,0.3317901234567901,0.7808641975308642,0.6512345679012346,0.5833333333333334,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,18.0,,True,0.6752777777777778,,0.0,False,,,18.0,0.65,core,False,0.02,11.0,电器仪表，正隔夜率0.4,"[""无主题映射"", ""创业板波动""]",0.7729027777777778,9.0
605117.SH,605117,德业股份,106.18,104.27,105.0,205514.0,215644.0,16:14:21,1.83,107.12,101.79,1.61,37.0,13.62,tencent.qt.gtimg.cn,2026-06-30T17:04:33,2026-06-30,2026-06-30,2026-04-29,147.63,德业股份,电气设备,主板,1,0.0547260127170108,0.0055169595422968,0.0167355371900825,0.019656868162228,0.0257924651537679,0.8674971687429203,-0.0078629032258065,0.0370011666992571,-0.0069300564406657,-0.0108209214006644,-0.006704274159158,0.0101886480408277,0.2,False,False,False,德业股份,-0.2807694912958069,0.0183178287139158,0.8236397748592874,-0.0087752053771471,0.0431280086452501,-0.2666316720079564,-0.2622187634625272,False,True,False,0.6538117283950617,0.9567901234567902,0.4691358024691358,0.6728395061728395,0.8858024691358025,0.8703703703703703,0.5771604938271605,0.6697530864197531,0.1265432098765432,0.7438271604938271,0.910493827160494,0.8796296296296297,0.3086419753086419,0.6327160493827161,0.0802469135802469,0.8364197530864198,0.7901234567901234,0.5015432098765432,0.5015432098765432,0.5015432098765432,0.5015432098765432,24.0,,True,0.6538117283950617,,0.0,False,,,24.0,0.67,core,False,0.02,9.0,双主题新能源+机器人,"[""日内高点回探"", ""隔夜正率偏低""]",0.772096450617284,10.0
