ts_code,trade_date,close,open,high,low,ret_close_1d,ret_close_3d,ret_close_5d,close_ma5_ratio,close_ma10_ratio,close_range_pos_5d,close_drawdown_10d,close_vol_5d,overnight_prev_1d,overnight_prev_3d_mean,overnight_prev_5d_mean,overnight_prev_5d_std,overnight_positive_rate_5d,name,industry,market,gap_days,is_new_listing_180d,prev_limit_move_like_1d,prev_soft_outlier_1d,turnover_rate,volume_ratio,pe,pb,total_mv,circ_mv,pre_close
000100.SZ,2026-06-26,5.4,5.36,5.67,5.29,0.0112359550561798,0.1134020618556703,0.08,0.0617381046008651,0.0937816487745597,0.7065217391304353,-0.0476190476190475,0.0494290358384156,0.0037453183520599,0.0129322882479375,0.0097553649327304,0.0209879895622221,0.6,TCL科技,元器件,主板,1,False,False,False,,,,,,,5.4
000338.SZ,2026-06-26,27.95,29.25,29.5,27.66,-0.0352088367276492,-0.0701929474384563,-0.071119973413094,-0.0554879697215462,-0.0454886961273137,0.0638766519823786,-0.1319875776397516,0.0320200568290664,0.0096651708664134,0.0013504241194255,0.0077612774015871,0.0132100111074773,0.8,潍柴动力,汽车配件,主板,1,False,False,False,,,,,,,27.95
000568.SZ,2026-06-26,75.2,78.31,79.24,75.2,-0.0405715743812196,-0.0465322682895904,-0.0708019275917459,-0.0373537468957217,-0.0686383790344552,0.0,-0.1312384473197781,0.0251938654117616,-0.0008930849706556,-0.0027940702933703,-0.0051551452331723,0.0034294487690206,0.0,泸州老窖,白酒,主板,1,False,False,False,,,,,,,75.2
000157.SZ,2026-06-26,7.31,7.31,7.46,7.26,-0.0040871934604904,-0.0094850948509485,-0.0356200527704486,-0.0132289416846652,-0.0228579066969656,0.1379310344827574,-0.0640204865556978,0.0259745749117025,-0.0040871934604904,-0.00043855318511,-0.0010765058790083,0.0053247560599992,0.4,中联重科,工程机械,主板,1,False,False,False,,,,,,,7.31
000538.SZ,2026-06-26,47.0,47.14,47.48,46.67,-0.0031813361611876,-0.0315268905831445,-0.0295271525913689,-0.0166129639703728,-0.0338561473472156,0.1272084805653709,-0.0834633385335413,0.0087829678734472,-0.0002120890774124,-0.0011204549146697,-0.0014962553254745,0.0012046496250931,0.0,云南白药,中成药,主板,1,False,False,False,,,,,,,47.0
000301.SZ,2026-06-26,11.39,11.57,11.88,11.17,-0.0129982668977468,-0.0420521446593776,-0.0172562553925798,-0.0345821325648414,-0.0503585125896282,0.1605839416058399,-0.1177381874515879,0.03390100413171,0.0025996533795495,-0.0016174267616757,-0.0005153116602423,0.0058878678391753,0.6,东方盛虹,化纤,主板,1,False,False,False,,,,,,,11.39
000002.SZ,2026-06-26,3.01,2.96,3.13,2.93,0.0203389830508473,-0.0258899676375404,-0.0163398692810458,-0.0052875082617318,-0.0176240208877285,0.419354838709677,-0.0623052959501557,0.0236038952152876,0.0033898305084745,-0.0022370598641785,-0.0045997018201947,0.006147333374842,0.2,万科Ａ,全国地产,主板,1,False,False,False,,,,,,,3.01
000333.SZ,2026-06-26,78.55,76.88,78.94,76.61,0.0267973856209149,0.00614832842321,0.007051282051282,0.0121640079375304,-0.0036404226441899,0.7044198895027608,-0.0721710370895346,0.0163541933595546,0.0049673202614377,0.0035352316671801,0.0001221478705045,0.0051129586447493,0.6,美的集团,家用电器,主板,1,False,False,False,,,,,,,78.55
000001.SZ,2026-06-26,10.23,10.42,10.47,10.19,-0.0182341650671784,-0.0448179271708684,-0.0275665399239543,-0.026085300837776,-0.0444610498785726,0.0555555555555567,-0.0906666666666666,0.0140352164970673,0.0,-0.0022023398639506,-0.0013214039183703,0.0016492787805336,0.0,平安银行,银行,主板,1,False,False,False,0.7103,0.96,5.2437,0.4817,22355617.7641,22355251.9523,10.23
000661.SZ,2026-06-26,62.8,65.2,66.04,62.78,-0.0428288370675202,-0.0438489646772229,-0.0202808112324492,-0.0330130574033014,-0.0330874994226236,0.1212516297262058,-0.09692263445499,0.0229980321597062,-0.0062490474013107,-0.002444925687294,-0.0024357309441249,0.0044037822421677,0.4,长春高新,生物制药,主板,1,False,False,False,,,,,,,62.8
000425.SZ,2026-06-26,8.22,8.24,8.47,8.19,-0.0024271844660194,-0.0551724137931033,-0.0856507230255839,-0.0381465012871516,-0.0717108977978543,0.0360360360360368,-0.1365546218487393,0.0340121368204933,0.0,3.403660314704737e-05,-0.0032925424189293,0.0050060095293586,0.2,徐工机械,工程机械,主板,1,False,False,False,,,,,,,8.22
000625.SZ,2026-06-26,6.86,6.98,6.99,6.83,-0.0241820768136556,-0.0563961485557082,-0.0791946308724832,-0.0348902644907146,-0.061816192560175,0.0422535211267609,-0.1193838254172015,0.013581601137786,-0.0071123755334281,-0.004286455612501,-0.0058130464051429,0.0036213361436885,0.2,长安汽车,汽车整车,主板,1,False,False,False,,,,,,,6.86
000063.SZ,2026-06-26,35.67,37.79,37.79,35.67,-0.0720603537981268,-0.0615627466456194,-0.0585906571654789,-0.0561993967296396,-0.0515063684952269,0.0,-0.1006051437216337,0.0461117294977762,-0.0169094693028095,-0.005744129730138,-0.0041702114698894,0.0113409700366624,0.4,中兴通讯,通信设备,主板,1,False,False,False,,,,,,,35.67
000596.SZ,2026-06-26,78.97,80.8,82.82,78.93,-0.0262638717632551,-0.0089106425702811,-0.0335332272671643,-0.0140827486329246,-0.0438425494303252,0.3003048780487802,-0.107683615819209,0.0296052613426356,-0.0036991368680641,-0.0024471518344062,-0.0037306047307593,0.00372904254425,0.2,古井贡酒,白酒,主板,1,False,False,False,,,,,,,78.97
000651.SZ,2026-06-26,37.02,37.17,37.34,36.8,-0.0037674919268028,-0.0069742489270385,0.008169934640523,-0.0024789825393405,-0.007799308514915,0.543478260869567,-0.0416774527569246,0.0058916213449152,0.0002691065662003,-0.0028629895921491,-0.0005278855129982,0.0042239881841731,0.6,格力电器,家用电器,主板,1,False,False,False,,,,,,,37.02
000630.SZ,2026-06-26,6.22,6.76,6.79,6.19,-0.0688622754491018,-0.1288515406162464,-0.1869281045751635,-0.1091377828702379,-0.1414768806073153,0.0171428571428567,-0.2244389027431421,0.0510007439372221,0.0119760479041917,-0.0177523205753911,-0.0098024609273543,0.0203386450702933,0.4,铜陵有色,铜,主板,1,False,False,False,,,,,,,6.22
000617.SZ,2026-06-26,6.64,6.96,7.0,6.64,-0.0568181818181818,-0.0907846090647679,-0.0678085076512705,-0.0636281588447652,-0.0748352398601107,0.0,-0.1346279160693341,0.0409678076480264,-0.0113636363636363,-0.0085845318351188,-0.0065162464744586,0.0029802997800453,0.0,中油资本,多元金融,主板,1,False,False,False,,,,,,,6.64
000069.SZ,2026-06-26,1.63,1.66,1.71,1.63,-0.0180722891566265,-0.0738636363636364,-0.0842696629213484,-0.0411764705882353,-0.0738636363636365,0.0,-0.1421052631578947,0.0165421752046678,0.0,-0.0039682539682539,-0.0046344913893952,0.0044229352993844,0.0,华侨城Ａ,全国地产,主板,1,False,False,False,,,,,,,1.63
